I, [2017-03-23T18:32:58.498794 #12341]  INFO -- Kitchen: -----> Starting Kitchen (v1.13.2)
E, [2017-03-23T18:32:58.499356 #12341] ERROR -- Kitchen: ------Exception-------
E, [2017-03-23T18:32:58.499416 #12341] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-03-23T18:32:58.499443 #12341] ERROR -- Kitchen: Message: Kitchen YAML file /Users/sali/kitchen/testing/recipes/.kitchen.yml does not exist.
E, [2017-03-23T18:32:58.499466 #12341] ERROR -- Kitchen: ----------------------
E, [2017-03-23T18:32:58.499487 #12341] ERROR -- Kitchen: ------Backtrace-------
E, [2017-03-23T18:32:58.499508 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2017-03-23T18:32:58.499530 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:154:in `data'
E, [2017-03-23T18:32:58.499551 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:133:in `suites'
E, [2017-03-23T18:32:58.499572 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:184:in `filter_instances'
E, [2017-03-23T18:32:58.499594 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:143:in `build_instances'
E, [2017-03-23T18:32:58.499615 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:119:in `instances'
E, [2017-03-23T18:32:58.499637 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2017-03-23T18:32:58.499658 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2017-03-23T18:32:58.499679 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command/action.rb:38:in `block in call'
E, [2017-03-23T18:32:58.499701 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-03-23T18:32:58.499722 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command/action.rb:37:in `call'
E, [2017-03-23T18:32:58.499744 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:56:in `perform'
E, [2017-03-23T18:32:58.499795 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:186:in `block (2 levels) in <class:CLI>'
E, [2017-03-23T18:32:58.499817 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-03-23T18:32:58.499838 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-03-23T18:32:58.499859 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-03-23T18:32:58.499881 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-03-23T18:32:58.499902 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-03-23T18:32:58.499945 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/bin/kitchen:13:in `block in <top (required)>'
E, [2017-03-23T18:32:58.499987 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2017-03-23T18:32:58.500012 #12341] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/bin/kitchen:13:in `<top (required)>'
E, [2017-03-23T18:32:58.500034 #12341] ERROR -- Kitchen: /usr/local/bin/kitchen:21:in `load'
E, [2017-03-23T18:32:58.500056 #12341] ERROR -- Kitchen: /usr/local/bin/kitchen:21:in `<main>'
E, [2017-03-23T18:32:58.500092 #12341] ERROR -- Kitchen: ----End Backtrace-----
